AAXN,"Axon Enterprise, Inc.",23.02,$1.21B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn
WEB,"Web.com Group, Inc.",23.5,$1.21B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/web
VCO,Vina Concha Y Toro,32.4739,$1.21B,1994,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/vco
RAVN,"Raven Industries, Inc.",33.6,$1.21B,n/a,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/ravn
RH,RH,57.33,$1.21B,2012,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/rh
FET,"Forum Energy Technologies, Inc.",12.6,$1.22B,2012,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fet
ELY,Callaway Golf Company,12.97,$1.22B,1992,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/ely
PSDO,"Presidio, Inc.",13.41,$1.22B,2017,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/psdo
YEXT,"Yext, Inc.",13.59,$1.22B,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/yext
IPXL,"Impax Laboratories, Inc.",16.55,$1.22B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ipxl
CATM,Cardtronics plc,26.62,$1.22B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/catm
GMS,GMS Inc.,29.67,$1.22B,2016,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/gms
UTG,Reaves Utility Income Fund,35.49,$1.22B,2004,n/a,n/a,http://www.nasdaq.com/symbol/utg
IPAR,"Inter Parfums, Inc.",39.15,$1.22B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ipar
HYLS,First Trust High Yield Long/Short ETF,49.3,$1.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hyls
PATK,"Patrick Industries, Inc.",72.8,$1.22B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/patk
FBP,First BanCorp.,5.71,$1.23B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbp
WRD,WildHorse Resource Development Corporation,12.34,$1.23B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wrd
CENX,Century Aluminum Company,14.04,$1.23B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
AAV,Advantage Oil & Gas Ltd,6.65,$1.24B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ETW,Eaton Vance Corporation,11.67,$1.24B,2005,n/a,n/a,http://www.nasdaq.com/symbol/etw
EGHT,8x8 Inc,13.45,$1.24B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
EVH,"Evolent Health, Inc",18.15,$1.24B,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evh
APPF,"AppFolio, Inc.",36.65,$1.24B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
SRCE,1st Source Corporation,47.93,$1.24B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
USCR,"U S Concrete, Inc.",77.35,$1.24B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/uscr
CVCO,"Cavco Industries, Inc.",137.1,$1.24B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
FCF,First Commonwealth Financial Corporation,12.81,$1.25B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcf
RATE,"Bankrate, Inc.",13.95,$1.25B,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/rate
NCS,"NCI Building Systems, Inc.",17.65,$1.25B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/ncs
FIX,"Comfort Systems USA, Inc.",33.6,$1.25B,1997,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/fix
AIR,AAR Corp.,36.2,$1.25B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.24,$1.26B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
